Model,composite_text
Fully convolutional Networks for Semantic Segmentation,"Model: Fully convolutional Networks for Semantic Segmentation. Task: Semantic Segmentation. Action:  assign a semantic label to each pixel in the input image, effectively segmenting the image into meaningful regions or objects.. Input Data: Video/Images. Framework: Caffe2. Institution: n.a"
SegNet,"Model: SegNet. Task: Semantic Segmentation. Action:  assign a semantic label to each pixel in the input image, effectively segmenting the image into meaningful regions or objects.. Input Data: Video/Images. Framework: MXNet. Institution: n.a"
Mask R-CNN,"Model: Mask R-CNN. Task: Semantic Segmentation. Action:  assign a semantic label to each pixel in the input image, effectively segmenting the image into meaningful regions or objects.. Input Data: Video/Images. Framework: Tensorflow. Institution: n.a"
deeplab_resnet_152_coco,"Model: deeplab_resnet_152_coco. Task: Semantic Segmentation. Action:  assign a semantic label to each pixel in the input image, effectively segmenting the image into meaningful regions or objects.. Input Data: Video/Images. Framework: Gluon. Institution: n.a"
Pytorch-semantic-segmentation,"Model: Pytorch-semantic-segmentation. Task: Semantic Segmentation. Action:  assign a semantic label to each pixel in the input image, effectively segmenting the image into meaningful regions or objects.. Input Data: Video/Images. Framework: PyTorch. Institution: n.a"
imgclsmob,"Model: imgclsmob. Task: Semantic Segmentation. Action:  assign a semantic label to each pixel in the input image, effectively segmenting the image into meaningful regions or objects.. Input Data: Video/Images. Framework: mxnet. Institution: n.a"
dandelin/vilt-b32-finetuned-vqa,Model: dandelin/vilt-b32-finetuned-vqa. Task: Visual Question Answering. Action: . Input Data: Video/Images. Framework: . Institution: 
Salesforce/blip-vqa-base,Model: Salesforce/blip-vqa-base. Task: Visual Question Answering. Action: . Input Data: Video/Images. Framework: . Institution: 
openbmb/MiniCPM-Llama3-V-2_5-int4,Model: openbmb/MiniCPM-Llama3-V-2_5-int4. Task: Visual Question Answering. Action: . Input Data: Video/Images. Framework: . Institution: 
segmentation-models,"Model: segmentation-models. Task: Semantic Segmentation. Action:  assign a semantic label to each pixel in the input image, effectively segmenting the image into meaningful regions or objects.. Input Data: Video/Images. Framework: Tensorflow. Institution: n.a"
depth-anything/Depth-Anything-V2-Small-hf,Model: depth-anything/Depth-Anything-V2-Small-hf. Task: Depth Estimation. Action: . Input Data: Video/Images. Framework: . Institution: 
tencent/DepthCrafter,Model: tencent/DepthCrafter. Task: Depth Estimation. Action: . Input Data: Video/Images. Framework: . Institution: 
Intel/dpt-hybrid-midas,Model: Intel/dpt-hybrid-midas. Task: Depth Estimation. Action: . Input Data: Video/Images. Framework: . Institution: 
Ultralytics/YOLOv8,Model: Ultralytics/YOLOv8. Task: Object Detection. Action: . Input Data: Video/Images. Framework: . Institution: 
facebook/detr-resnet-50,Model: facebook/detr-resnet-50. Task: Object Detection. Action: . Input Data: Video/Images. Framework: . Institution: 
microsoft/table-transformer-detection,Model: microsoft/table-transformer-detection. Task: Object Detection. Action: . Input Data: Video/Images. Framework: . Institution: 
stable-diffusion-v1-5/stable-diffusion-v1-5,Model: stable-diffusion-v1-5/stable-diffusion-v1-5. Task: Text-to-Image. Action: . Input Data: Video/Images. Framework: . Institution: 
black-forest-labs/FLUX.1-dev,Model: black-forest-labs/FLUX.1-dev. Task: Text-to-Image. Action: . Input Data: Video/Images. Framework: . Institution: 
,Model: . Task: Text-to-Image. Action: . Input Data: Video/Images. Framework: . Institution: 
stabilityai/stable-diffusion-xl-refiner-1.0,Model: stabilityai/stable-diffusion-xl-refiner-1.0. Task: Image-to-image. Action: . Input Data: Video/Images. Framework: . Institution: 
,Model: . Task: . Action: . Input Data: Video/Images. Framework: . Institution: 
,Model: . Task: . Action: . Input Data: Video/Images. Framework: . Institution: 
,Model: . Task: . Action: . Input Data: Video/Images. Framework: . Institution: 
lllyasviel/sd-controlnet-canny,Model: lllyasviel/sd-controlnet-canny. Task: Image-to-image. Action: . Input Data: Video/Images. Framework: . Institution: 
stable-diffusion-v1-5/stable-diffusion-inpainting,Model: stable-diffusion-v1-5/stable-diffusion-inpainting. Task: Image-to-image. Action: . Input Data: Video/Images. Framework: . Institution: 
Salesforce/blip-image-captioning-base,Model: Salesforce/blip-image-captioning-base. Task: Image-to-text. Action: . Input Data: Video/Images. Framework: . Institution: 
microsoft/trocr-base-handwritten,Model: microsoft/trocr-base-handwritten. Task: Image-to-text. Action: . Input Data: Video/Images. Framework: . Institution: 
IAMJB/chexpert-mimic-cxr-findings-baseline,Model: IAMJB/chexpert-mimic-cxr-findings-baseline. Task: Image-to-text. Action: . Input Data: Video/Images. Framework: . Institution: 
stabilityai/stable-video-diffusion-img2vid-xt,Model: stabilityai/stable-video-diffusion-img2vid-xt. Task: Image-to-video. Action: . Input Data: Video/Images. Framework: . Institution: 
Wan-AI/Wan2.1-I2V-14B-480P-Diffusers,Model: Wan-AI/Wan2.1-I2V-14B-480P-Diffusers. Task: Image-to-video. Action: . Input Data: Video/Images. Framework: . Institution: 
tencent/HunyuanVideo-I2V,Model: tencent/HunyuanVideo-I2V. Task: Image-to-video. Action: . Input Data: Video/Images. Framework: . Institution: 
xclid,Model: xclid. Task: Video Classification . Action: . Input Data: Video/Images. Framework: . Institution: 
videomaev2,Model: videomaev2. Task: Video Classification . Action: . Input Data: Video/Images. Framework: . Institution: 
vivit-b,Model: vivit-b. Task: Video Classification . Action: . Input Data: Video/Images. Framework: . Institution: 
google/vit-base-patch16-224-in21k,Model: google/vit-base-patch16-224-in21k. Task: Image Feature Extraction. Action: . Input Data: Video/Images. Framework: . Institution: 
facebook/dinov2-base,Model: facebook/dinov2-base. Task: Image Feature Extraction. Action: . Input Data: Video/Images. Framework: . Institution: 
nvidia/MambaVision-S-1K,Model: nvidia/MambaVision-S-1K. Task: Image Feature Extraction. Action: . Input Data: Video/Images. Framework: . Institution: 
Nothing for Descriptive Analysis,Model: Nothing for Descriptive Analysis. Task: Descriptive analysis. Action: summarize and describe the input data using statistical techniques.. Input Data: Tabular data. Framework: ?. Institution: 
ShapeNet,"Model: ShapeNet. Task: Recommender systems. Action:  recommend relevant items (e.g., products, movies, music) to users based on their preferences and behaviors.. Input Data: Tabular data. Framework: Tensorflow. Institution: N.a"
Adversarial Autoencoders,"Model: Adversarial Autoencoders. Task: Recommender systems. Action:  recommend relevant items (e.g., products, movies, music) to users based on their preferences and behaviors.. Input Data: Tabular data. Framework: PyTorch. Institution: N.a"
Recommenders,"Model: Recommenders. Task: Recommender systems. Action:  recommend relevant items (e.g., products, movies, music) to users based on their preferences and behaviors.. Input Data: Tabular data. Framework: Tensorflow. Institution: N.a"
mildnet,"Model: mildnet. Task: Recommender systems. Action:  recommend relevant items (e.g., products, movies, music) to users based on their preferences and behaviors.. Input Data: Tabular data. Framework: Tensorflow. Institution: gofynd"
ParlAI,"Model: ParlAI. Task: Recommender systems. Action:  recommend relevant items (e.g., products, movies, music) to users based on their preferences and behaviors.. Input Data: Tabular data. Framework: PyTorch. Institution: Facebook"
PaddleRec,"Model: PaddleRec. Task: Recommender systems. Action:  recommend relevant items (e.g., products, movies, music) to users based on their preferences and behaviors.. Input Data: Tabular data. Framework: Paddle. Institution: PaddlePaddle"
FuxiCTR,"Model: FuxiCTR. Task: Recommender systems. Action:  recommend relevant items (e.g., products, movies, music) to users based on their preferences and behaviors.. Input Data: Tabular data. Framework: PyTorch. Institution: Xue-p ai"
ibm-granite/granite-timeseries-ttm-r1,Model: ibm-granite/granite-timeseries-ttm-r1. Task: Time Series Forecasting. Action: . Input Data: . Framework: . Institution: 
Temporal Fusion Transformer (TFT),Model: Temporal Fusion Transformer (TFT). Task: Time Series Forecasting. Action: predict future values based on historical patterns.. Input Data: Tabular data. Framework: Tensorflow. Institution: N.a
LSTNet,Model: LSTNet. Task: Time Series Forecasting. Action: predict future values based on historical patterns.. Input Data: Tabular data. Framework: PyTorch. Institution: N.a
darts,Model: darts. Task: Time Series Forecasting. Action: predict future values based on historical patterns.. Input Data: Tabular data. Framework: PyTorch. Institution: N.a
gluon-ts,Model: gluon-ts. Task: Time Series Forecasting. Action: predict future values based on historical patterns.. Input Data: Tabular data. Framework: mxnet. Institution: awslab
qlib,Model: qlib. Task: Time Series Forecasting. Action: predict future values based on historical patterns.. Input Data: Tabular data. Framework: PyTorch. Institution: Microsoft 
DCRNN,Model: DCRNN. Task: Time Series Forecasting. Action: predict future values based on historical patterns.. Input Data: Tabular data. Framework: Tensorflow. Institution: liyaguang
n-beats,Model: n-beats. Task: Time Series Forecasting. Action: . Input Data: . Framework: . Institution: 
pytorch_geometric_temporal,Model: pytorch_geometric_temporal. Task: Time Series Forecasting. Action: predict future values based on historical patterns.. Input Data: Tabular data. Framework: PyTorch. Institution: Benedekrozemberczki
tapas-base-finetuned-wtq,Model: tapas-base-finetuned-wtq. Task: Table Question Answering . Action: provide answers to questions based on the input data.. Input Data: Tabular data. Framework: . Institution: google
tapas-large-finetuned-wtq,Model: tapas-large-finetuned-wtq. Task: Table Question Answering . Action: provide answers to questions based on the input data.. Input Data: Tabular data. Framework: . Institution: google
tapex-large-finetuned-wtq,Model: tapex-large-finetuned-wtq. Task: Table Question Answering . Action: provide answers to questions based on the input data.. Input Data: Tabular data. Framework: . Institution: microsoft
Efficient Estimation of Word Representations in Vector Space,Model: Efficient Estimation of Word Representations in Vector Space. Task: Recommender systems. Action: predict/recommend future values based on historical patterns.. Input Data: Tabular data. Framework: Tensorflow. Institution: N.a
Convolutional Neural Networks for Sentence Classification,Model: Convolutional Neural Networks for Sentence Classification. Task: Sentence Classification . Action: perform sentence classification based on papers. Input Data: Text. Framework: PyTorch. Institution: N.a
DeepCTR,Model: DeepCTR. Task: Forecast (time series forcast). Action: predict future values based on historical patterns.. Input Data: Tabular data. Framework: Tensorflow. Institution: N.a
TabNet,Model: TabNet. Task: Tabular Classification. Action: . Input Data: Tabular data. Framework: . Institution: 
XGBoost,Model: XGBoost. Task: Tabular Classification. Action: . Input Data: Tabular data. Framework: . Institution: 
CatBoost,Model: CatBoost. Task: Tabular Classification. Action: . Input Data: Tabular data. Framework: . Institution: 
XGBoost,Model: XGBoost. Task: Tabular Regression. Action: . Input Data: Tabular data. Framework: . Institution: 
LightGBM,Model: LightGBM. Task: Tabular Regression. Action: . Input Data: Tabular data. Framework: . Institution: 
TabNet,Model: TabNet. Task: Tabular Regression. Action: . Input Data: Tabular data. Framework: . Institution: 
facebook/bart-large-cnn,Model: facebook/bart-large-cnn. Task: Tabular to Text. Action: . Input Data: Tabular data. Framework: . Institution: 
google-t5/t5-base,Model: google-t5/t5-base. Task: Tabular to Text. Action: . Input Data: Tabular data. Framework: . Institution: 
Narrativaai/bloom-560m-finetuned-totto-table-to-text,Model: Narrativaai/bloom-560m-finetuned-totto-table-to-text. Task: Table to Text. Action: . Input Data: Tabular data. Framework: . Institution: 
Yale-LILY/reastap-large-finetuned-logicnlg,Model: Yale-LILY/reastap-large-finetuned-logicnlg. Task: Table to Text. Action: . Input Data: Tabular data. Framework: . Institution: 
Multimodal Toolkit,Model: Multimodal Toolkit. Task: Tabular to Text. Action: . Input Data: Tabular data. Framework: . Institution: 
ValueFX9507/Tifa-DeepsexV2-7b-MGRPO-GGUF-Q8,Model: ValueFX9507/Tifa-DeepsexV2-7b-MGRPO-GGUF-Q8. Task: Reinforcement Learning. Action: . Input Data: Tabular data. Framework: . Institution: 
Open-Reasoner-Zero/Open-Reasoner-Zero-Critic-32B,Model: Open-Reasoner-Zero/Open-Reasoner-Zero-Critic-32B. Task: Reinforcement Learning. Action: . Input Data: Tabular data. Framework: . Institution: 
ThomasSimonini/ppo-AntBulletEnv-v0,Model: ThomasSimonini/ppo-AntBulletEnv-v0. Task: Reinforcement Learning. Action: . Input Data: Tabular data. Framework: . Institution: 
lerobot/pi0,Model: lerobot/pi0. Task: Robotics. Action: . Input Data: Tabular data. Framework: . Institution: 
nvidia/GR00T-N1-2B,Model: nvidia/GR00T-N1-2B. Task: Robotics. Action: . Input Data: Tabular data. Framework: . Institution: 
physical-intelligence/fast,Model: physical-intelligence/fast. Task: Robotics. Action: . Input Data: Tabular data. Framework: . Institution: 
ecmwf/aifs-single-1.0,Model: ecmwf/aifs-single-1.0. Task: Graph Machine Learning. Action: . Input Data: Tabular data. Framework: . Institution: 
ibm-research/materials.pos-egnn,Model: ibm-research/materials.pos-egnn. Task: Graph Machine Learning. Action: . Input Data: Tabular data. Framework: . Institution: 
clefourrier/graphormer-base-pcqm4mv2,Model: clefourrier/graphormer-base-pcqm4mv2. Task: Graph Machine Learning. Action: . Input Data: Tabular data. Framework: . Institution: 
bztest/xlm-roberta-base-finetuned-panx-de,Model: bztest/xlm-roberta-base-finetuned-panx-de. Task: Token Classification. Action: . Input Data: Tabular data. Framework: . Institution: 
FacebookAI/xlm-roberta-large-finetuned-conll03-english,Model: FacebookAI/xlm-roberta-large-finetuned-conll03-english. Task: Token Classification. Action: . Input Data: Tabular data. Framework: . Institution: 
dslim/bert-base-NER,Model: dslim/bert-base-NER. Task: Token Classification. Action: . Input Data: Tabular data. Framework: . Institution: 
facebook/bart-large-mnli,Model: facebook/bart-large-mnli. Task: Zero-shot classification. Action: . Input Data: Tabular data. Framework: . Institution: 
MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,Model: MoritzLaurer/mDeBERTa-v3-base-mnli-xnli. Task: Zero-shot classification. Action: . Input Data: Tabular data. Framework: . Institution: 
joeddav/bart-large-mnli-yahoo-answers,Model: joeddav/bart-large-mnli-yahoo-answers. Task: Zero-shot classification. Action: . Input Data: Tabular data. Framework: . Institution: 
